t,new_addresses
2016-01-01,145528
2016-01-02,181390
2016-01-03,172920
2016-01-04,214810
2016-01-05,221131
2016-01-06,205167
2016-01-07,226692
2016-01-08,216202
2016-01-09,221115
2016-01-10,203417
2016-01-11,231149
2016-01-12,236785
2016-01-13,223170
2016-01-14,223873
2016-01-15,220897
2016-01-16,254062
2016-01-17,246802
2016-01-18,252982
2016-01-19,210731
2016-01-20,269194
2016-01-21,272176
2016-01-22,259713
2016-01-23,236432
2016-01-24,236103
2016-01-25,274372
2016-01-26,287517
2016-01-27,279207
2016-01-28,293254
2016-01-29,293274
2016-01-30,249856
2016-01-31,223724
2016-02-01,280629
2016-02-02,322860
2016-02-03,247562
2016-02-04,248311
2016-02-05,272569
2016-02-06,265518
2016-02-07,272588
2016-02-08,261544
2016-02-09,276637
2016-02-10,274343
2016-02-11,279254
2016-02-12,266698
2016-02-13,238371
2016-02-14,226306
2016-02-15,260749
2016-02-16,258485
2016-02-17,290813
2016-02-18,268864
2016-02-19,266272
2016-02-20,256778
2016-02-21,237537
2016-02-22,281800
2016-02-23,281697
2016-02-24,245855
2016-02-25,264518
2016-02-26,243175
2016-02-27,233325
2016-02-28,269344
2016-02-29,279271
2016-03-01,287568
2016-03-02,299552
2016-03-03,237411
2016-03-04,231294
2016-03-05,248257
2016-03-06,179107
2016-03-07,205091
2016-03-08,234811
2016-03-09,220717
2016-03-10,223217
2016-03-11,220422
2016-03-12,196516
2016-03-13,181385
2016-03-14,218784
2016-03-15,228028
2016-03-16,244745
2016-03-17,240987
2016-03-18,234138
2016-03-19,206161
2016-03-20,207820
2016-03-21,223171
2016-03-22,235751
2016-03-23,221312
2016-03-24,215570
2016-03-25,200694
2016-03-26,179322
2016-03-27,175069
2016-03-28,212024
2016-03-29,219340
2016-03-30,225363
2016-03-31,220148
2016-04-01,228033
2016-04-02,204903
2016-04-03,199526
2016-04-04,237721
2016-04-05,235848
2016-04-06,241663
2016-04-07,232527
2016-04-08,225591
2016-04-09,211233
2016-04-10,200421
2016-04-11,230428
2016-04-12,255528
2016-04-13,241141
2016-04-14,240589
2016-04-15,220995
2016-04-16,199902
2016-04-17,211892
2016-04-18,229748
2016-04-19,241409
2016-04-20,236507
2016-04-21,239508
2016-04-22,228679
2016-04-23,201689
2016-04-24,199886
2016-04-25,237672
2016-04-26,265262
2016-04-27,246366
2016-04-28,233167
2016-04-29,248819
2016-04-30,220758
2016-05-01,190714
2016-05-02,215762
2016-05-03,222591
2016-05-04,216958
2016-05-05,214432
2016-05-06,214989
2016-05-07,193044
2016-05-08,183364
2016-05-09,224435
2016-05-10,232138
2016-05-11,224970
2016-05-12,220272
2016-05-13,219933
2016-05-14,201211
2016-05-15,186172
2016-05-16,233618
2016-05-17,228539
2016-05-18,234722
2016-05-19,219019
2016-05-20,205104
2016-05-21,191131
2016-05-22,176868
2016-05-23,220330
2016-05-24,235069
2016-05-25,235385
2016-05-26,223188
2016-05-27,231655
2016-05-28,212858
2016-05-29,187801
2016-05-30,221349
2016-05-31,226702
2016-06-01,241984
2016-06-02,233295
2016-06-03,241706
2016-06-04,200854
2016-06-05,196131
2016-06-06,235941
2016-06-07,246021
2016-06-08,237957
2016-06-09,253173
2016-06-10,243463
2016-06-11,217935
2016-06-12,215516
2016-06-13,260602
2016-06-14,256777
2016-06-15,272736
2016-06-16,277533
2016-06-17,270576
2016-06-18,244420
2016-06-19,222856
2016-06-20,265089
2016-06-21,268803
2016-06-22,249235
2016-06-23,261294
2016-06-24,256534
2016-06-25,221625
2016-06-26,194844
2016-06-27,234512
2016-06-28,248560
2016-06-29,239707
2016-06-30,252446
2016-07-01,231671
2016-07-02,216007
2016-07-03,194232
2016-07-04,233483
2016-07-05,236211
2016-07-06,239340
2016-07-07,242063
2016-07-08,225259
2016-07-09,208128
2016-07-10,183058
2016-07-11,232450
2016-07-12,242724
2016-07-13,232923
2016-07-14,233885
2016-07-15,229791
2016-07-16,206238
2016-07-17,186229
2016-07-18,234079
2016-07-19,228428
2016-07-20,239129
2016-07-21,224952
2016-07-22,229590
2016-07-23,203286
2016-07-24,190716
2016-07-25,241479
2016-07-26,247378
2016-07-27,241495
2016-07-28,240509
2016-07-29,230008
2016-07-30,205072
2016-07-31,198239
2016-08-01,240714
2016-08-02,269215
2016-08-03,258904
2016-08-04,245544
2016-08-05,245330
2016-08-06,213754
2016-08-07,192456
2016-08-08,242012
2016-08-09,250578
2016-08-10,260916
2016-08-11,267853
2016-08-12,247875
2016-08-13,223590
2016-08-14,205806
2016-08-15,217327
2016-08-16,270020
2016-08-17,262011
2016-08-18,262388
2016-08-19,261845
2016-08-20,245108
2016-08-21,210787
2016-08-22,253931
2016-08-23,265732
2016-08-24,262583
2016-08-25,250959
2016-08-26,249721
2016-08-27,228548
2016-08-28,202158
2016-08-29,237689
2016-08-30,278257
2016-08-31,259831
2016-09-01,256918
2016-09-02,248445
2016-09-03,231430
2016-09-04,216702
2016-09-05,262305
2016-09-06,267234
2016-09-07,280223
2016-09-08,271008
2016-09-09,263421
2016-09-10,239328
2016-09-11,233200
2016-09-12,255730
2016-09-13,276579
2016-09-14,271031
2016-09-15,269255
2016-09-16,247559
2016-09-17,259321
2016-09-18,224851
2016-09-19,264848
2016-09-20,286269
2016-09-21,278434
2016-09-22,266957
2016-09-23,267450
2016-09-24,244963
2016-09-25,234241
2016-09-26,282476
2016-09-27,295434
2016-09-28,292516
2016-09-29,300504
2016-09-30,302457
2016-10-01,264387
2016-10-02,234929
2016-10-03,318372
2016-10-04,330224
2016-10-05,321640
2016-10-06,336396
2016-10-07,319944
2016-10-08,300107
2016-10-09,253965
2016-10-10,268563
2016-10-11,313100
2016-10-12,280930
2016-10-13,282805
2016-10-14,296164
2016-10-15,264869
2016-10-16,247348
2016-10-17,294102
2016-10-18,307119
2016-10-19,243043
2016-10-20,337887
2016-10-21,316029
2016-10-22,265262
2016-10-23,236215
2016-10-24,276577
2016-10-25,295379
2016-10-26,284065
2016-10-27,377460
2016-10-28,304569
2016-10-29,278391
2016-10-30,248154
2016-10-31,289722
2016-11-01,298114
2016-11-02,331759
2016-11-03,332604
2016-11-04,311876
2016-11-05,299738
2016-11-06,273215
2016-11-07,336404
2016-11-08,361244
2016-11-09,329762
2016-11-10,335983
2016-11-11,312720
2016-11-12,291754
2016-11-13,275690
2016-11-14,335102
2016-11-15,352221
2016-11-16,337788
2016-11-17,339055
2016-11-18,338878
2016-11-19,311669
2016-11-20,294875
2016-11-21,348004
2016-11-22,350377
2016-11-23,337025
2016-11-24,392810
2016-11-25,366464
2016-11-26,332545
2016-11-27,286572
2016-11-28,368899
2016-11-29,354980
2016-11-30,361323
2016-12-01,295205
2016-12-02,413899
2016-12-03,354964
2016-12-04,304980
2016-12-05,359495
2016-12-06,419096
2016-12-07,395637
2016-12-08,354285
2016-12-09,335791
2016-12-10,315555
2016-12-11,289736
2016-12-12,339618
2016-12-13,359741
2016-12-14,353156
2016-12-15,347436
2016-12-16,345369
2016-12-17,299707
2016-12-18,283345
2016-12-19,347917
2016-12-20,360345
2016-12-21,392318
2016-12-22,386367
2016-12-23,370657
2016-12-24,292724
2016-12-25,231129
2016-12-26,295726
2016-12-27,359644
2016-12-28,372550
2016-12-29,373000
2016-12-30,353172
2016-12-31,305705
2017-01-01,211491
2017-01-02,349124
2017-01-03,361528
2017-01-04,392404
2017-01-05,350209
2017-01-06,398794
2017-01-07,330442
2017-01-08,303855
2017-01-09,327877
2017-01-10,372134
2017-01-11,343599
2017-01-12,340950
2017-01-13,327358
2017-01-14,294689
2017-01-15,278451
2017-01-16,324770
2017-01-17,354003
2017-01-18,353045
2017-01-19,363392
2017-01-20,361173
2017-01-21,323261
2017-01-22,285880
2017-01-23,286339
2017-01-24,365092
2017-01-25,364341
2017-01-26,369137
2017-01-27,326969
2017-01-28,313580
2017-01-29,298979
2017-01-30,306839
2017-01-31,379092
2017-02-01,429820
2017-02-02,314119
2017-02-03,408978
2017-02-04,347848
2017-02-05,354736
2017-02-06,283408
2017-02-07,410354
2017-02-08,361503
2017-02-09,409970
2017-02-10,353009
2017-02-11,312304
2017-02-12,278038
2017-02-13,340394
2017-02-14,367136
2017-02-15,343561
2017-02-16,332493
2017-02-17,378386
2017-02-18,339810
2017-02-19,305485
2017-02-20,333068
2017-02-21,332676
2017-02-22,335170
2017-02-23,388503
2017-02-24,412012
2017-02-25,371259
2017-02-26,305532
2017-02-27,332474
2017-02-28,377342
2017-03-01,368882
2017-03-02,394648
2017-03-03,408163
2017-03-04,326869
2017-03-05,347044
2017-03-06,361518
2017-03-07,405546
2017-03-08,363924
2017-03-09,378981
2017-03-10,380952
2017-03-11,351260
2017-03-12,279055
2017-03-13,340413
2017-03-14,389580
2017-03-15,363457
2017-03-16,416493
2017-03-17,361080
2017-03-18,333570
2017-03-19,338256
2017-03-20,349323
2017-03-21,373031
2017-03-22,402376
2017-03-23,366031
2017-03-24,364111
2017-03-25,328093
2017-03-26,303956
2017-03-27,306941
2017-03-28,386600
2017-03-29,371857
2017-03-30,359505
2017-03-31,344555
2017-04-01,334324
2017-04-02,316650
2017-04-03,371363
2017-04-04,344075
2017-04-05,401807
2017-04-06,381825
2017-04-07,377988
2017-04-08,307950
2017-04-09,317104
2017-04-10,374455
2017-04-11,410402
2017-04-12,382931
2017-04-13,314082
2017-04-14,388295
2017-04-15,344725
2017-04-16,278388
2017-04-17,324681
2017-04-18,391320
2017-04-19,398287
2017-04-20,351714
2017-04-21,424106
2017-04-22,349485
2017-04-23,322533
2017-04-24,304590
2017-04-25,423889
2017-04-26,439689
2017-04-27,388633
2017-04-28,407022
2017-04-29,430547
2017-04-30,351225
2017-05-01,373976
2017-05-02,428686
2017-05-03,392264
2017-05-04,469662
2017-05-05,356111
2017-05-06,473788
2017-05-07,388359
2017-05-08,471403
2017-05-09,442237
2017-05-10,405266
2017-05-11,393881
2017-05-12,415119
2017-05-13,428850
2017-05-14,483476
2017-05-15,422746
2017-05-16,312125
2017-05-17,417037
2017-05-18,388950
2017-05-19,430261
2017-05-20,477995
2017-05-21,433041
2017-05-22,440302
2017-05-23,484078
2017-05-24,446593
2017-05-25,472227
2017-05-26,468771
2017-05-27,446181
2017-05-28,394694
2017-05-29,415287
2017-05-30,457311
2017-05-31,434775
2017-06-01,435580
2017-06-02,370346
2017-06-03,406229
2017-06-04,358810
2017-06-05,405962
2017-06-06,428436
2017-06-07,478624
2017-06-08,427094
2017-06-09,402501
2017-06-10,354570
2017-06-11,315893
2017-06-12,383874
2017-06-13,422991
2017-06-14,404792
2017-06-15,407444
2017-06-16,374282
2017-06-17,329596
2017-06-18,289709
2017-06-19,379004
2017-06-20,401894
2017-06-21,413793
2017-06-22,374728
2017-06-23,352171
2017-06-24,313905
2017-06-25,249825
2017-06-26,355266
2017-06-27,363120
2017-06-28,388319
2017-06-29,332526
2017-06-30,367976
2017-07-01,301032
2017-07-02,267665
2017-07-03,347080
2017-07-04,357584
2017-07-05,325713
2017-07-06,326278
2017-07-07,386031
2017-07-08,306613
2017-07-09,264594
2017-07-10,355420
2017-07-11,368583
2017-07-12,360378
2017-07-13,349856
2017-07-14,322557
2017-07-15,303904
2017-07-16,278624
2017-07-17,333611
2017-07-18,375327
2017-07-19,364699
2017-07-20,336717
2017-07-21,379692
2017-07-22,299657
2017-07-23,250313
2017-07-24,334484
2017-07-25,347154
2017-07-26,336113
2017-07-27,318290
2017-07-28,352217
2017-07-29,292635
2017-07-30,282849
2017-07-31,354755
2017-08-01,214155
2017-08-02,305312
2017-08-03,315088
2017-08-04,334017
2017-08-05,341882
