t,total_fees
2016-01-01,19.82080598
2016-01-02,31.37600479
2016-01-03,24.08304879
2016-01-04,30.74684308
2016-01-05,32.27846687
2016-01-06,30.40324362
2016-01-07,37.02453793
2016-01-08,32.53002298
2016-01-09,30.22393822
2016-01-10,27.95780106
2016-01-11,35.90416653
2016-01-12,34.70749772
2016-01-13,34.27954249
2016-01-14,31.82088874
2016-01-15,35.76071656
2016-01-16,34.77336876
2016-01-17,36.326795
2016-01-18,39.48023545
2016-01-19,39.67840683
2016-01-20,46.47964248
2016-01-21,50.3603795
2016-01-22,45.16359551
2016-01-23,38.59889347
2016-01-24,40.1824236
2016-01-25,45.9839664
2016-01-26,47.01650631
2016-01-27,49.12850373
2016-01-28,47.43453192
2016-01-29,46.98023086
2016-01-30,38.97923245
2016-01-31,34.55384553
2016-02-01,55.98834185
2016-02-02,58.64427461
2016-02-03,44.727733
2016-02-04,38.13751292
2016-02-05,43.03457951
2016-02-06,40.20959148
2016-02-07,38.93269746
2016-02-08,42.13873335
2016-02-09,41.7533383
2016-02-10,45.10160409
2016-02-11,44.25502408
2016-02-12,39.03763903
2016-02-13,34.91582779
2016-02-14,35.15265778
2016-02-15,42.11669849
2016-02-16,42.20291344
2016-02-17,43.84467565
2016-02-18,43.33919321
2016-02-19,45.93178995
2016-02-20,41.35279322
2016-02-21,40.3175371
2016-02-22,45.80619995
2016-02-23,48.35862446
2016-02-24,45.99151748
2016-02-25,45.89148285
2016-02-26,42.35918186
2016-02-27,37.33826946
2016-02-28,44.48851907
2016-02-29,55.28146424
2016-03-01,60.06599979
2016-03-02,92.15325496
2016-03-03,56.09368275
2016-03-04,51.56297271
2016-03-05,62.07709524
2016-03-06,39.12461422
2016-03-07,43.73955784
2016-03-08,44.92403847
2016-03-09,54.68048263
2016-03-10,41.07926816
2016-03-11,39.76764706
2016-03-12,34.40586731
2016-03-13,35.80250793
2016-03-14,41.05698574
2016-03-15,42.88754793
2016-03-16,47.99646002
2016-03-17,46.32816082
2016-03-18,42.894972
2016-03-19,34.35487023
2016-03-20,33.74667059
2016-03-21,41.13390235
2016-03-22,42.63768215
2016-03-23,38.35156743
2016-03-24,38.50255692
2016-03-25,32.7033762
2016-03-26,35.8323759
2016-03-27,31.75097348
2016-03-28,46.15473942
2016-03-29,57.79052183
2016-03-30,45.75345212
2016-03-31,45.74989907
2016-04-01,53.2276954
2016-04-02,49.66375403
2016-04-03,43.58224685
2016-04-04,45.08180774
2016-04-05,47.92742177
2016-04-06,58.44875393
2016-04-07,44.73522886
2016-04-08,43.53738918
2016-04-09,36.54361898
2016-04-10,33.25339902
2016-04-11,50.11203705
2016-04-12,50.75962758
2016-04-13,45.74314812
2016-04-14,44.86496577
2016-04-15,44.67354732
2016-04-16,34.12321152
2016-04-17,34.28061725
2016-04-18,47.33042977
2016-04-19,43.48327587
2016-04-20,43.21507171
2016-04-21,42.82120266
2016-04-22,42.68874359
2016-04-23,33.15097021
2016-04-24,33.26865456
2016-04-25,43.29847026
2016-04-26,337.75639818
2016-04-27,46.11149971
2016-04-28,49.62034503
2016-04-29,49.9195874
2016-04-30,40.87923127
2016-05-01,34.50281105
2016-05-02,45.13159943
2016-05-03,44.86828296
2016-05-04,47.17178574
2016-05-05,44.25619976
2016-05-06,44.519552
2016-05-07,37.61683514
2016-05-08,34.73771327
2016-05-09,40.4654474
2016-05-10,48.10185732
2016-05-11,45.88566709
2016-05-12,46.75238994
2016-05-13,47.58216903
2016-05-14,48.00318276
2016-05-15,45.61359577
2016-05-16,60.51568467
2016-05-17,58.4408726
2016-05-18,58.26811656
2016-05-19,54.98968957
2016-05-20,51.58622819
2016-05-21,56.82664163
2016-05-22,43.20770201
2016-05-23,54.73645083
2016-05-24,59.53134626
2016-05-25,59.87550803
2016-05-26,55.65651605
2016-05-27,70.89209327
2016-05-28,52.34180926
2016-05-29,47.98546674
2016-05-30,57.85196125
2016-05-31,52.33924442
2016-06-01,56.18497783
2016-06-02,58.53519721
2016-06-03,54.69656979
2016-06-04,46.44371282
2016-06-05,44.16827831
2016-06-06,52.13956486
2016-06-07,52.51815706
2016-06-08,50.40981971
2016-06-09,53.21550949
2016-06-10,52.81223012
2016-06-11,46.24529278
2016-06-12,52.42482099
2016-06-13,63.87453511
2016-06-14,69.04509389
2016-06-15,83.38614703
2016-06-16,82.29665972
2016-06-17,78.90209509
2016-06-18,70.57830565
2016-06-19,63.14349102
2016-06-20,76.7711358
2016-06-21,76.28917579
2016-06-22,78.85018659
