t,total_supply
2016-01-01,15032925.0
2016-01-02,15036550.0
2016-01-03,15040175.0
2016-01-04,15044700.0
2016-01-05,15048625.0
2016-01-06,15052150.0
2016-01-07,15055825.0
2016-01-08,15060150.0
2016-01-09,15063925.0
2016-01-10,15068300.0
2016-01-11,15072550.0
2016-01-12,15076800.0
2016-01-13,15080500.0
2016-01-14,15083825.0
2016-01-15,15086875.0
2016-01-16,15090425.0
2016-01-17,15094200.0
2016-01-18,15098525.0
2016-01-19,15101850.0
2016-01-20,15105650.0
2016-01-21,15109075.0
2016-01-22,15113475.0
2016-01-23,15117950.0
2016-01-24,15122225.0
2016-01-25,15126275.0
2016-01-26,15130275.0
2016-01-27,15134150.0
2016-01-28,15137800.0
2016-01-29,15142025.0
2016-01-30,15146700.0
2016-01-31,15151225.0
2016-02-01,15155250.0
2016-02-02,15159750.0
2016-02-03,15164225.0
2016-02-04,15168425.0
2016-02-05,15173125.0
2016-02-06,15178125.0
2016-02-07,15182525.0
2016-02-08,15186225.0
2016-02-09,15190625.0
2016-02-10,15194725.0
2016-02-11,15199525.0
2016-02-12,15203800.0
2016-02-13,15207700.0
2016-02-14,15211850.0
2016-02-15,15215650.0
2016-02-16,15219100.0
2016-02-17,15222975.0
2016-02-18,15227200.0
2016-02-19,15230825.0
2016-02-20,15234575.0
2016-02-21,15237775.0
2016-02-22,15240950.0
2016-02-23,15244350.0
2016-02-24,15247300.0
2016-02-25,15251175.0
2016-02-26,15254675.0
2016-02-27,15258350.0
2016-02-28,15261700.0
2016-02-29,15265025.0
2016-03-01,15268550.0
2016-03-02,15272475.0
2016-03-03,15275850.0
2016-03-04,15279725.0
2016-03-05,15283475.0
2016-03-06,15287175.0
2016-03-07,15290500.0
2016-03-08,15294350.0
2016-03-09,15298550.0
2016-03-10,15302425.0
2016-03-11,15306425.0
2016-03-12,15310025.0
2016-03-13,15313350.0
2016-03-14,15317150.0
2016-03-15,15321175.0
2016-03-16,15324975.0
2016-03-17,15328500.0
2016-03-18,15331900.0
2016-03-19,15335300.0
2016-03-20,15338950.0
2016-03-21,15342425.0
2016-03-22,15346125.0
2016-03-23,15349850.0
2016-03-24,15353525.0
2016-03-25,15357175.0
2016-03-26,15361000.0
2016-03-27,15364525.0
2016-03-28,15368775.0
2016-03-29,15372700.0
2016-03-30,15376375.0
2016-03-31,15379475.0
2016-04-01,15383300.0
2016-04-02,15386775.0
2016-04-03,15390325.0
2016-04-04,15394475.0
2016-04-05,15398350.0
2016-04-06,15402275.0
2016-04-07,15405750.0
2016-04-08,15409350.0
2016-04-09,15413400.0
2016-04-10,15417725.0
2016-04-11,15421550.0
2016-04-12,15425250.0
2016-04-13,15429350.0
2016-04-14,15433450.0
2016-04-15,15436925.0
2016-04-16,15440375.0
2016-04-17,15444325.0
2016-04-18,15447675.0
2016-04-19,15451425.0
2016-04-20,15455550.0
2016-04-21,15459325.0
2016-04-22,15462900.0
2016-04-23,15466500.0
2016-04-24,15469800.0
2016-04-25,15472975.0
2016-04-26,15476750.0
2016-04-27,15479975.0
2016-04-28,15483350.0
2016-04-29,15487300.0
2016-04-30,15490950.0
2016-05-01,15494825.0
2016-05-02,15498750.0
2016-05-03,15502525.0
2016-05-04,15506700.0
2016-05-05,15510575.0
2016-05-06,15514625.0
2016-05-07,15518375.0
2016-05-08,15522575.0
2016-05-09,15526850.0
2016-05-10,15530800.0
2016-05-11,15534125.0
2016-05-12,15537600.0
2016-05-13,15541400.0
2016-05-14,15545000.0
2016-05-15,15548475.0
2016-05-16,15552000.0
2016-05-17,15555525.0
2016-05-18,15559350.0
2016-05-19,15562350.0
2016-05-20,15566075.0
2016-05-21,15569600.0
2016-05-22,15574200.0
2016-05-23,15578700.0
2016-05-24,15582375.0
2016-05-25,15585825.0
2016-05-26,15589200.0
2016-05-27,15592675.0
2016-05-28,15596000.0
2016-05-29,15599675.0
2016-05-30,15603275.0
2016-05-31,15606450.0
2016-06-01,15610025.0
2016-06-02,15613475.0
2016-06-03,15617025.0
2016-06-04,15620000.0
2016-06-05,15624250.0
2016-06-06,15628500.0
2016-06-07,15632000.0
2016-06-08,15635600.0
2016-06-09,15639725.0
2016-06-10,15643325.0
2016-06-11,15647225.0
2016-06-12,15650875.0
2016-06-13,15654900.0
2016-06-14,15658200.0
2016-06-15,15662000.0
2016-06-16,15665725.0
2016-06-17,15669450.0
2016-06-18,15673400.0
2016-06-19,15677825.0
2016-06-20,15681925.0
2016-06-21,15685650.0
2016-06-22,15688875.0
2016-06-23,15692375.0
2016-06-24,15695600.0
2016-06-25,15699650.0
2016-06-26,15703300.0
2016-06-27,15706975.0
2016-06-28,15710675.0
2016-06-29,15714325.0
2016-06-30,15718075.0
2016-07-01,15721950.0
2016-07-02,15725675.0
2016-07-03,15729525.0
2016-07-04,15733300.0
2016-07-05,15736900.0
2016-07-06,15740425.0
2016-07-07,15743850.0
2016-07-08,15747475.0
2016-07-09,15750600.0
2016-07-10,15752550.0
2016-07-11,15754337.5
2016-07-12,15756125.0
2016-07-13,15757737.5
2016-07-14,15759500.0
2016-07-15,15761187.5
2016-07-16,15763150.0
2016-07-17,15765012.5
2016-07-18,15766862.5
2016-07-19,15768462.5
2016-07-20,15770337.5
2016-07-21,15772000.0
2016-07-22,15773612.5
2016-07-23,15775250.0
2016-07-24,15776800.0
2016-07-25,15778437.5
2016-07-26,15780050.0
2016-07-27,15781650.0
2016-07-28,15783350.0
2016-07-29,15785187.5
2016-07-30,15786675.0
2016-07-31,15788600.0
2016-08-01,15790512.5
2016-08-02,15792437.5
2016-08-03,15794512.5
2016-08-04,15796425.0
2016-08-05,15798537.5
2016-08-06,15800612.5
2016-08-07,15802462.5
2016-08-08,15804312.5
2016-08-09,15805862.5
2016-08-10,15807750.0
2016-08-11,15809625.0
2016-08-12,15811487.5
2016-08-13,15813525.0
2016-08-14,15815562.5
2016-08-15,15817387.5
2016-08-16,15819075.0
2016-08-17,15820612.5
2016-08-18,15822537.5
2016-08-19,15824462.5
2016-08-20,15826400.0
2016-08-21,15828437.5
2016-08-22,15830412.5
2016-08-23,15832250.0
2016-08-24,15834150.0
2016-08-25,15835775.0
2016-08-26,15837425.0
2016-08-27,15839225.0
2016-08-28,15841125.0
2016-08-29,15842987.5
2016-08-30,15845037.5
2016-08-31,15846712.5
2016-09-01,15848462.5
2016-09-02,15850375.0
2016-09-03,15851950.0
2016-09-04,15854187.5
2016-09-05,15855937.5
2016-09-06,15857637.5
2016-09-07,15859537.5
2016-09-08,15861337.5
2016-09-09,15863112.5
2016-09-10,15865050.0
2016-09-11,15867100.0
2016-09-12,15869137.5
2016-09-13,15871200.0
2016-09-14,15873150.0
2016-09-15,15875075.0
2016-09-16,15876812.5
2016-09-17,15878850.0
2016-09-18,15880662.5
2016-09-19,15882325.0
