t,total_transactions
2016-01-01,123957
2016-01-02,148893
2016-01-03,142463
2016-01-04,181173
2016-01-05,182214
2016-01-06,171949
2016-01-07,190087
2016-01-08,181234
2016-01-09,179817
2016-01-10,161142
2016-01-11,191026
2016-01-12,194704
2016-01-13,187983
2016-01-14,183049
2016-01-15,183520
2016-01-16,191158
2016-01-17,203977
2016-01-18,213732
2016-01-19,186725
2016-01-20,208919
2016-01-21,222606
2016-01-22,213507
2016-01-23,190221
2016-01-24,201254
2016-01-25,221988
2016-01-26,230363
2016-01-27,229522
2016-01-28,224879
2016-01-29,224225
2016-01-30,194607
2016-01-31,175864
2016-02-01,222237
2016-02-02,241542
2016-02-03,191045
2016-02-04,200493
2016-02-05,225300
2016-02-06,223956
2016-02-07,212014
2016-02-08,224607
2016-02-09,231064
2016-02-10,235363
2016-02-11,220742
2016-02-12,202356
2016-02-13,184519
2016-02-14,185922
2016-02-15,220197
2016-02-16,215802
2016-02-17,227080
2016-02-18,212810
2016-02-19,217291
2016-02-20,215578
2016-02-21,206489
2016-02-22,237569
2016-02-23,244612
2016-02-24,224809
2016-02-25,216135
2016-02-26,203495
2016-02-27,182030
2016-02-28,233302
2016-02-29,265187
2016-03-01,276953
2016-03-02,270049
2016-03-03,221517
2016-03-04,207330
2016-03-05,234842
2016-03-06,161591
2016-03-07,183122
2016-03-08,200144
2016-03-09,190220
2016-03-10,188571
2016-03-11,189656
2016-03-12,167869
2016-03-13,149670
2016-03-14,191189
2016-03-15,202265
2016-03-16,211840
2016-03-17,208178
2016-03-18,205886
2016-03-19,177342
2016-03-20,177997
2016-03-21,198867
2016-03-22,205060
2016-03-23,186659
2016-03-24,189947
2016-03-25,172163
2016-03-26,158896
2016-03-27,160125
2016-03-28,195910
2016-03-29,197252
2016-03-30,200881
2016-03-31,206352
2016-04-01,211769
2016-04-02,183364
2016-04-03,178287
2016-04-04,208763
2016-04-05,216021
2016-04-06,219133
2016-04-07,218324
2016-04-08,214047
2016-04-09,196279
2016-04-10,186781
2016-04-11,229887
2016-04-12,240058
2016-04-13,223342
2016-04-14,227764
2016-04-15,212039
2016-04-16,181866
2016-04-17,192270
2016-04-18,220261
2016-04-19,226361
2016-04-20,216615
2016-04-21,212644
2016-04-22,210833
2016-04-23,185072
2016-04-24,183023
2016-04-25,217437
2016-04-26,250593
2016-04-27,239306
2016-04-28,247822
2016-04-29,261726
2016-04-30,215566
2016-05-01,191275
2016-05-02,223628
2016-05-03,235458
2016-05-04,233524
2016-05-05,229418
2016-05-06,233070
2016-05-07,201912
2016-05-08,188857
2016-05-09,226278
2016-05-10,245563
2016-05-11,234279
2016-05-12,228270
2016-05-13,231994
2016-05-14,211136
2016-05-15,200032
2016-05-16,239668
2016-05-17,238485
2016-05-18,234930
2016-05-19,219025
2016-05-20,209247
2016-05-21,191320
2016-05-22,184164
2016-05-23,222574
2016-05-24,246370
2016-05-25,247703
2016-05-26,219956
2016-05-27,215157
2016-05-28,192921
2016-05-29,178595
2016-05-30,211224
2016-05-31,215122
2016-06-01,234241
2016-06-02,230961
2016-06-03,234527
2016-06-04,196546
2016-06-05,189632
2016-06-06,221001
2016-06-07,230876
2016-06-08,229789
2016-06-09,236188
2016-06-10,228223
2016-06-11,213003
2016-06-12,210565
2016-06-13,251193
2016-06-14,246697
2016-06-15,259050
2016-06-16,267721
2016-06-17,253603
2016-06-18,235159
2016-06-19,218121
2016-06-20,249170
2016-06-21,248015
2016-06-22,235512
2016-06-23,241160
2016-06-24,237496
2016-06-25,206757
2016-06-26,181202
2016-06-27,216882
2016-06-28,212459
2016-06-29,223966
2016-06-30,231810
2016-07-01,205646
2016-07-02,198726
2016-07-03,176973
2016-07-04,213749
2016-07-05,214814
2016-07-06,214551
2016-07-07,215411
2016-07-08,210556
2016-07-09,185256
2016-07-10,162452
2016-07-11,217946
2016-07-12,218891
2016-07-13,216374
2016-07-14,217554
2016-07-15,215946
2016-07-16,182035
2016-07-17,170864
2016-07-18,222687
2016-07-19,222018
2016-07-20,227279
2016-07-21,217473
2016-07-22,221275
2016-07-23,195665
2016-07-24,183766
2016-07-25,239584
2016-07-26,237544
2016-07-27,235475
2016-07-28,234727
2016-07-29,231267
2016-07-30,199365
2016-07-31,192100
2016-08-01,224896
2016-08-02,250944
2016-08-03,241616
2016-08-04,231682
2016-08-05,228075
2016-08-06,195503
2016-08-07,192266
2016-08-08,235147
2016-08-09,231276
2016-08-10,244589
2016-08-11,254365
2016-08-12,232824
2016-08-13,214406
2016-08-14,200011
2016-08-15,202750
2016-08-16,254296
2016-08-17,237880
2016-08-18,239387
2016-08-19,245941
2016-08-20,208069
2016-08-21,184741
2016-08-22,228215
2016-08-23,238874
2016-08-24,234978
2016-08-25,233879
2016-08-26,226635
2016-08-27,190954
2016-08-28,174337
2016-08-29,225133
2016-08-30,251838
2016-08-31,225226
2016-09-01,237326
2016-09-02,225703
2016-09-03,182078
2016-09-04,183065
2016-09-05,227543
2016-09-06,231982
2016-09-07,250657
2016-09-08,226862
2016-09-09,220392
2016-09-10,193165
2016-09-11,180227
2016-09-12,208486
2016-09-13,239721
2016-09-14,231644
2016-09-15,233334
2016-09-16,210989
2016-09-17,215366
2016-09-18,191458
2016-09-19,223407
2016-09-20,244164
2016-09-21,239050
2016-09-22,231086
2016-09-23,223051
2016-09-24,208484
2016-09-25,195457
2016-09-26,230616
2016-09-27,240168
2016-09-28,234847
2016-09-29,242587
2016-09-30,250801
2016-10-01,213773
2016-10-02,192542
2016-10-03,258654
2016-10-04,264504
2016-10-05,266644
2016-10-06,274325
2016-10-07,266181
2016-10-08,250503
2016-10-09,210388
2016-10-10,222872
2016-10-11,263426
2016-10-12,233296
2016-10-13,229575
2016-10-14,239588
2016-10-15,210306
2016-10-16,197746
2016-10-17,237107
2016-10-18,251366
