t,total_transactions
2016-01-01,8232
2016-01-02,9164
2016-01-03,9258
2016-01-04,9469
2016-01-05,16424
2016-01-06,17059
2016-01-07,22063
2016-01-08,10916
2016-01-09,11774
2016-01-10,10320
2016-01-11,10890
2016-01-12,10860
2016-01-13,16158
2016-01-14,10648
2016-01-15,9868
2016-01-16,10660
2016-01-17,9743
2016-01-18,12916
2016-01-19,13416
2016-01-20,10609
2016-01-21,10728
2016-01-22,13845
2016-01-23,11020
2016-01-24,12793
2016-01-25,17111
2016-01-26,16508
2016-01-27,18727
2016-01-28,16754
2016-01-29,16381
2016-01-30,14648
2016-01-31,14163
2016-02-01,14187
2016-02-02,14279
2016-02-03,14269
2016-02-04,14371
2016-02-05,15246
2016-02-06,31399
2016-02-07,14260
2016-02-08,14704
2016-02-09,15515
2016-02-10,17128
2016-02-11,21425
2016-02-12,18089
2016-02-13,19322
2016-02-14,16617
2016-02-15,17148
2016-02-16,17522
2016-02-17,19943
2016-02-18,16939
2016-02-19,18386
2016-02-20,16680
2016-02-21,17102
2016-02-22,18160
2016-02-23,18078
2016-02-24,18840
2016-02-25,19486
2016-02-26,21036
2016-02-27,18957
2016-02-28,19037
2016-02-29,20331
2016-03-01,21757
2016-03-02,23547
2016-03-03,24813
2016-03-04,24274
2016-03-05,27101
2016-03-06,27646
2016-03-07,23256
2016-03-08,24094
2016-03-09,24549
2016-03-10,24781
2016-03-11,23104
2016-03-12,27784
2016-03-13,28101
2016-03-14,28516
2016-03-15,29227
2016-03-16,27555
2016-03-17,33507
2016-03-18,31797
2016-03-19,34762
2016-03-20,32429
2016-03-21,32494
2016-03-22,32858
2016-03-23,31764
2016-03-24,36919
2016-03-25,36737
2016-03-26,36606
2016-03-27,29950
2016-03-28,33572
2016-03-29,33835
2016-03-30,36498
2016-03-31,32224
2016-04-01,33286
2016-04-02,29332
2016-04-03,29577
2016-04-04,34527
2016-04-05,39098
2016-04-06,31764
2016-04-07,31819
2016-04-08,33992
2016-04-09,31903
2016-04-10,32226
2016-04-11,30319
2016-04-12,34664
2016-04-13,35614
2016-04-14,34763
2016-04-15,34939
2016-04-16,30475
2016-04-17,40186
2016-04-18,33478
2016-04-19,32615
2016-04-20,32916
2016-04-21,37171
2016-04-22,31637
2016-04-23,31836
2016-04-24,34030
2016-04-25,35395
2016-04-26,32328
2016-04-27,33267
2016-04-28,33432
2016-04-29,36109
2016-04-30,44323
2016-05-01,38305
2016-05-02,41263
2016-05-03,37617
2016-05-04,37335
2016-05-05,37136
2016-05-06,40307
2016-05-07,35647
2016-05-08,39894
2016-05-09,38284
2016-05-10,40373
2016-05-11,40476
2016-05-12,44523
2016-05-13,47127
2016-05-14,45186
2016-05-15,42802
2016-05-16,37193
2016-05-17,40046
2016-05-18,45784
2016-05-19,44309
2016-05-20,44907
2016-05-21,43406
2016-05-22,38740
2016-05-23,43516
2016-05-24,42703
2016-05-25,46196
2016-05-26,50837
2016-05-27,48413
2016-05-28,69221
2016-05-29,45338
2016-05-30,42529
2016-05-31,44119
2016-06-01,42064
2016-06-02,39563
2016-06-03,39679
2016-06-04,37753
2016-06-05,37728
2016-06-06,38870
2016-06-07,45983
2016-06-08,40247
2016-06-09,39693
2016-06-10,39994
2016-06-11,36798
2016-06-12,42472
2016-06-13,46033
2016-06-14,49930
2016-06-15,42879
2016-06-16,43306
2016-06-17,66089
2016-06-18,62637
2016-06-19,50934
2016-06-20,46956
2016-06-21,47028
2016-06-22,48340
2016-06-23,41669
2016-06-24,45171
2016-06-25,36586
2016-06-26,41571
2016-06-27,39574
2016-06-28,42998
2016-06-29,49811
2016-06-30,63841
2016-07-01,40035
2016-07-02,39238
2016-07-03,39653
2016-07-04,39912
2016-07-05,39216
2016-07-06,37860
2016-07-07,40364
2016-07-08,42426
2016-07-09,40265
2016-07-10,39289
2016-07-11,38491
2016-07-12,40762
2016-07-13,35696
2016-07-14,42780
2016-07-15,41048
2016-07-16,38002
2016-07-17,33904
2016-07-18,39152
2016-07-19,44155
2016-07-20,50399
2016-07-21,44736
2016-07-22,48307
2016-07-23,44859
2016-07-24,58023
2016-07-25,54626
2016-07-26,61722
2016-07-27,52791
2016-07-28,48225
2016-07-29,47093
2016-07-30,41898
2016-07-31,48649
2016-08-01,45129
2016-08-02,48885
2016-08-03,49334
2016-08-04,46670
2016-08-05,43149
2016-08-06,41437
2016-08-07,42897
2016-08-08,42892
2016-08-09,46953
2016-08-10,46226
2016-08-11,48117
2016-08-12,44351
2016-08-13,41027
2016-08-14,40530
2016-08-15,42229
2016-08-16,48870
2016-08-17,44761
2016-08-18,47506
2016-08-19,42777
2016-08-20,41183
2016-08-21,42399
2016-08-22,44094
2016-08-23,48330
2016-08-24,46755
2016-08-25,49714
2016-08-26,47075
2016-08-27,47777
2016-08-28,42425
2016-08-29,45288
2016-08-30,46735
2016-08-31,45581
2016-09-01,47204
2016-09-02,54718
2016-09-03,44638
2016-09-04,47990
2016-09-05,42507
2016-09-06,48736
2016-09-07,48438
2016-09-08,55689
2016-09-09,53145
2016-09-10,42735
2016-09-11,43115
2016-09-12,44905
2016-09-13,42417
2016-09-14,53699
2016-09-15,52323
2016-09-16,56731
2016-09-17,46273
2016-09-18,37294
2016-09-19,40442
2016-09-20,53971
2016-09-21,44431
2016-09-22,52274
