t,hash_rate_mean,new_addresses,open,high,low,close,total_addresses,total_fees,total_supply,total_transactions,V1
2016-01-01,686999110083512000,145528,430.3587165555999,436.4340480067829,428.2702244720352,434.8839824640039,115629296,19.82080598,15032925.0,123957,0.0174
2016-01-02,746668359157219000,181390,435.7194344773594,436.29446441997226,431.5546337160309,434.9224203390912,115810686,31.37600479,15036550.0,148893,0.0192
2016-01-03,743237097095217000,172920,434.6358760430514,435.21807946760543,424.7770960180376,430.9997978270536,115983606,24.08304879,15040175.0,142463,0.0213
2016-01-04,924970135345209000,214810,431.3623489693956,435.4516541157956,429.7742340474507,433.90199131687206,116198416,30.74684308,15044700.0,181173,0.021
2016-01-05,806265480040695000,221131,433.527565219683,435.4955001216079,429.9722654694391,433.1665986957625,116419547,32.27846687,15048625.0,182214,0.0228
2016-01-06,721738994486882000,205167,432.39397570394414,433.293846682048,427.638538386503,429.9253492492494,116624714,30.40324362,15052150.0,171949,0.021
2016-01-07,759096203419657000,226692,430.7891858899023,459.697129066988,430.38671355968575,458.7099236879629,116851406,37.02453793,15055825.0,190087,0.0258
2016-01-08,879554005474851000,216202,457.7481678956261,463.85786193066224,447.026195285926,454.0532833086,117067608,32.53002298,15060150.0,181234,0.0246
2016-01-09,782941644680379000,221115,453.92347176897454,455.2759295583932,447.2734132546905,449.69718279879146,117288723,30.22393822,15063925.0,179817,0.021
2016-01-10,896073480357271000,203417,450.0525827327141,450.6612225850537,441.554347756469,448.9536352689756,117492140,27.95780106,15068300.0,161142,0.0192
2016-01-11,865465360973001000,231149,449.5993797082685,452.1017949011784,440.6886815730203,448.6952497818272,117723289,35.90416653,15072550.0,191026,0.0231
2016-01-12,881836663972653000,236785,448.5798437131517,448.6494788481384,435.48555090765376,435.48555090765376,117960074,34.70749772,15076800.0,194704,0.0189
2016-01-13,809090487327987000,223170,434.42503780492586,436.5205908392471,424.9806154628798,432.6577823362845,118183244,34.27954249,15080500.0,187983,0.0222
2016-01-14,743449187076371000,223873,432.7248030117097,434.7249487146549,427.7889470138801,430.0250259843386,118407117,31.82088874,15083825.0,183049,0.0219
2016-01-15,688538292706254000,220897,429.9345498828217,429.9345498828217,362.4305504507852,362.4305504507852,118628014,35.76071656,15086875.0,183520,0.0288
2016-01-16,798064408978578000,254062,362.6224348864022,390.8104174425682,353.55245190549005,388.1881730585918,118882076,34.77336876,15090425.0,191158,0.03
2016-01-17,848430484105265000,246802,386.8426375781687,390.5212074244624,377.2342855258601,379.148748639874,119128878,36.326795,15094200.0,203977,0.0258
2016-01-18,976652915942155000,252982,378.39185822615246,387.44046353002193,373.5351049251068,384.928918248786,119381860,39.48023545,15098525.0,213732,0.0255
2016-01-19,744551961061134000,210731,384.69197541469015,385.90817599974616,374.0849099951944,376.7663108392438,119592591,39.67840683,15101850.0,186725,0.0249
2016-01-20,859534904434186000,269194,376.0172897766199,423.1221724353584,372.2866240908041,419.2252501717509,119861785,46.47964248,15105650.0,208919,0.0267
2016-01-21,761506855272832000,272176,418.408665446888,422.90111195719874,404.6674860641499,409.2680990241474,120133961,50.3603795,15109075.0,222606,0.0249
2016-01-22,984694314388522000,259713,409.1257635968251,411.20372063505073,375.3452536938142,383.2949288145388,120393674,45.16359551,15113475.0,213507,0.0237
2016-01-23,1014761337241760000,236432,382.9867120989932,394.9817295795369,382.2347209873462,386.9158595464536,120630106,38.59889347,15117950.0,190221,0.0234
2016-01-24,945947173549511000,236103,386.9924405341345,405.7621049760058,386.57913909427856,402.8010750231029,120866209,40.1824236,15122225.0,201254,0.0195
2016-01-25,912891658205753000,274372,402.2985080997672,402.2985080997672,386.8366824997908,391.1212623042642,121140581,45.9839664,15126275.0,221988,0.0222
2016-01-26,914833624703637000,287517,391.55810261914814,396.9338973397567,388.9179531924455,391.6668140869515,121428098,47.01650631,15130275.0,230363,0.0222
2016-01-27,916498494553636000,279207,391.9994956230519,396.6729304828722,390.897339497621,394.4466804448489,121707305,49.12850373,15134150.0,229522,0.0213
2016-01-28,867851190924672000,293254,394.4891280886557,394.9635355075363,379.1515814776148,379.75057770315664,122000559,47.43453192,15137800.0,224879,0.0219
2016-01-29,997757003470038000,293274,379.5695126818624,383.90832478999306,364.8181255545636,378.6405195412309,122293833,46.98023086,15142025.0,224225,0.0219
2016-01-30,1109401074379350000,249856,378.2464676359873,381.0654495424431,375.8997924140922,377.3488875787101,122543689,38.97923245,15146700.0,194607,0.0192
2016-01-31,1077687020157200000,223724,378.3709272533992,381.7772791848118,365.92052201868745,367.9508595508954,122767413,34.55384553,15151225.0,175864,0.0183
2016-02-01,981213401860684000,280629,368.69310616285946,378.1983355938331,366.9058858486648,371.3705231941207,123048042,55.98834185,15155250.0,222237,0.024
2016-02-02,1027357228868810000,322860,371.5211873321738,374.5546852260905,371.3657419435424,372.9622692614402,123370902,58.64427461,15159750.0,241542,0.021
2016-02-03,1048701415772050000,247562,373.02352708312935,373.6635199265637,366.0932636283886,368.53490319794935,123618464,44.727733,15164225.0,191045,0.024
2016-02-04,1001962006275770000,248311,368.4926513681117,390.7487591654653,368.4926513681117,388.0950286680333,123866775,38.13751292,15168425.0,200493,0.0228
2016-02-05,1108521762206690000,272569,387.5783969899314,389.1494899148232,383.5259933273911,383.9341258581022,124139344,43.03457951,15173125.0,225300,0.0231
2016-02-06,1178806586469770000,265518,384.24445645170135,384.29510452377343,371.19652212477286,375.2273870475876,124404862,40.20959148,15178125.0,223956,0.0222
2016-02-07,1204487476988110000,272588,375.3993611015952,379.73779902182406,373.4051598317329,376.4286292236621,124677450,38.93269746,15182525.0,212014,0.0225
2016-02-08,1065535669939370000,261544,376.4416379746159,379.0508593584616,370.57802501821305,371.21694243336185,124938994,42.13873335,15186225.0,224607,0.0222
2016-02-09,1289104886357850000,276637,371.00253367932,375.78505053119954,370.4847559609786,372.7623707800957,125215631,41.7533383,15190625.0,231064,0.024
2016-02-10,1142432368917000000,274343,372.8909209145501,383.0624754576742,372.27312151536586,378.951734213109,125489974,45.10160409,15194725.0,235363,0.0255
2016-02-11,1355544331388010000,279254,379.25209726461486,379.6994374797151,371.6762338315897,378.14838162107424,125769228,44.25502408,15199525.0,220742,0.0273
2016-02-12,1213913944751630000,266698,378.0491167095266,382.76047465093416,377.7213863300036,382.39209701651856,126035926,39.03763903,15203800.0,202356,0.0246
2016-02-13,1110129420562290000,238371,382.38526414171366,390.65036662988143,382.38526414171366,390.65036662988143,126274297,34.91582779,15207700.0,184519,0.0228
2016-02-14,1182093387555840000,226306,391.7365970576433,406.5740594276338,391.7365970576433,406.5740594276338,126500603,35.15265778,15211850.0,185922,0.0225
2016-02-15,1090730893466670000,260749,406.0768925832732,409.21643804010426,394.1119026298382,398.8081586422428,126761352,42.11669849,15215650.0,220197,0.0279
2016-02-16,995009835919335000,258485,399.1250617775937,407.29179752719045,397.6305756008708,407.238241647739,127019837,42.20291344,15219100.0,215802,0.0273
2016-02-17,1090439076418530000,290813,407.3673939966231,420.37343828994034,405.6882097659597,414.8979246844353,127310650,43.84467565,15222975.0,227080,0.0267
2016-02-18,1216259696583870000,268864,415.6593539072936,424.2688989437894,415.6593539072936,421.16569563372616,127579514,43.33919321,15227200.0,212810,0.03
2016-02-19,1081834305409500000,266272,421.1418436840948,421.97115456487234,416.0612186276734,420.44353590336175,127845786,45.93178995,15230825.0,217291,0.0294
2016-02-20,1210716422985100000,256778,420.75063490094834,443.1483086627808,420.75063490094834,434.6179274199626,128102564,41.35279322,15234575.0,215578,0.0246
2016-02-21,1043435468351980000,237537,435.9689939294623,448.0437423981565,426.9860164272151,438.4724307298428,128340101,40.3175371,15237775.0,206489,0.027
2016-02-22,1021164508157200000,281800,438.4174054977225,439.3099546065292,431.9801682074206,437.4889589178774,128621901,45.80619995,15240950.0,237569,0.0258
2016-02-23,1098499088933040000,281697,437.5201618094381,440.5109605332496,415.270242970443,419.610223184816,128903598,48.35862446,15244350.0,244612,0.0252
2016-02-24,954569879707172000,245855,420.0380972383423,424.9271435221153,411.6882643220032,423.851263269437,129149453,45.99151748,15247300.0,224809,0.0273
2016-02-25,1268217023868860000,264518,423.90103317360825,426.2255859039856,417.51578995247576,423.5093989250703,129413971,45.89148285,15251175.0,216135,0.0252
2016-02-26,1128782348812230000,243175,423.48724477004697,430.6719637219394,418.940816141802,430.6719637219394,129657146,42.35918186,15254675.0,203495,0.0261
2016-02-27,1187143447008920000,233325,431.69728974703537,434.7095165097973,429.1582473542738,432.1432341275273,129890471,37.33826946,15258350.0,182030,0.0246
2016-02-28,1079637369618810000,269344,432.6201907993312,434.9012198093882,423.0523994371662,431.5065287388273,130159815,44.48851907,15261700.0,233302,0.0228
2016-02-29,1104518347604910000,279271,431.41801902286295,441.5016596395518,430.1792642796894,436.4222492894298,130439086,55.28146424,15265025.0,265187,0.0249
2016-03-01,1115191985440840000,287568,436.4891781003989,437.355920884194,429.1147021286596,433.2277035606563,130726654,60.06599979,15268550.0,276953,0.0258
2016-03-02,1267741123347880000,299552,432.7060797076396,434.78376371136767,420.1261526217783,420.1261526217783,131026206,92.15325496,15272475.0,270049,0.0264
2016-03-03,1107531392950170000,237411,420.85649868256553,423.58328910169575,410.7141078498208,419.31158198959054,131263617,56.09368275,15275850.0,221517,0.0276
2016-03-04,1251857878110230000,231294,419.10035226381854,423.140821591473,407.2361243772178,407.2361243772178,131494911,51.56297271,15279725.0,207330,0.0249
2016-03-05,1179584971704220000,248257,407.45471894183993,408.56480438513233,385.1524835313581,398.50243239160943,131743168,62.07709524,15283475.0,234842,0.03
