t,Unnamed: 0,hash_rate_mean,new_addresses,open,high,low,close,total_addresses,total_fees,total_supply,total_transactions,gas_price_mean,gas_price_median,google_trends,transfers_med,sigma,sp500,vix,gold
2016-01-01,0,483146737803.456,115,0.9318858540679992,0.955608214983226,0.923946862788828,0.94228486900388,35676,15.6508949367188,76166279.40573,8232,54747565393.3175,50000000000.0,0.0013,1.70461252,0.0228046501319776,2012.6600341796875,20.700000762939453,1075.0999755859375
2016-01-02,1,480570757251.188,132,0.939567959729598,0.9668349965028972,0.9329165304323832,0.9352310773519612,35808,19.3597908118577,76193663.31198,9164,53323453178.3104,50000000000.0,0.0,1.52034385860405,0.0250880257265746,2012.6600341796875,20.700000762939453,1075.0999755859375
2016-01-03,2,493841843786.117,144,0.934601870614133,0.991832962854214,0.9276121577492672,0.9739000731639452,35952,19.4483166824665,76221339.09323,9258,53342341401.9861,50000000000.0,0.0008,1.42073498,0.0398147792286346,2012.6600341796875,20.700000762939453,1075.0999755859375
2016-01-04,3,491178701739.228,161,0.967852016006122,0.976383782379916,0.9168855406743552,0.9461480924825292,36113,21.3104318963137,76248759.71823,9469,54038066808.2861,50000000000.0,0.0032,1.40263815,0.0421640558576811,2012.6600341796875,20.700000762939453,1075.0999755859375
2016-01-05,4,492699537663.071,147,0.9453978967502152,0.96782014916207,0.942254121717692,0.9530695854880912,36260,60.3564445042775,76276598.93698,16424,57078526509.281296,52000000000.0,0.0027,1.05856963,0.0182515195426664,2016.7099609375,19.34000015258789,1078.4000244140625
2016-01-06,5,495954801382.63,227,0.9530695854880912,0.965034257116802,0.9360012616446912,0.953449068118386,36487,66.5339184501612,76304224.40573,17059,53724486417.6506,52000000000.0,0.0025,1.01339475,0.0215984152555048,1990.260009765625,20.59000015258789,1091.9000244140625
2016-01-07,6,473114572208.916,181,0.95956998789418,0.979810222528782,0.9331721935314072,0.943603009820034,36668,65.5065476024396,76331246.59323,22063,53273537580.5966,50000000000.0,0.0021,1.12018922,0.0328702120693496,1943.0899658203125,24.989999771118164,1107.699951171875
2016-01-08,7,497219883977.125,188,0.938127405212012,0.992165888658096,0.937590272148569,0.989209564081782,36856,26.0495075445064,76359243.31198,10916,53800517545.3133,50000000000.0,0.0012,1.14138483,0.0226838312462962,1922.030029296875,27.010000228881836,1097.800048828125
2016-01-09,8,497444348472.355,244,0.989209564081782,1.000095162615943,0.9714781108576552,0.9869234252575392,37100,39.30051752086,76386839.09323,11774,53277018400.1765,50000000000.0,0.0024,1.07709555,0.0204780807511544,1922.030029296875,27.010000228881836,1097.800048828125
2016-01-10,9,491487344559.202,219,0.9857366703819812,1.010070105575494,0.972636993483328,1.002572874043493,37319,26.3260527733229,76414127.06198,10320,53104731713.9814,50000000000.0,0.0021,1.27594222,0.0245411546655453,1922.030029296875,27.010000228881836,1097.800048828125
2016-01-11,10,521244492061.218,286,0.999239117395423,1.076435709436228,0.999239117395423,1.06355132446286,37605,25.5135651128461,76441132.21823,10890,53940328768.7161,50000000000.0,0.0033,1.25212948,0.0355806755300949,1923.6700439453125,24.299999237060547,1096.5
